Asset Class,Positions,Ticker/Market Data,Position Type,Position Size,P&L Estimate
rate,Rates (Front end) (DV01),USGG2YR Index,DV01,130000,-3092700
rate,Long End TIPS (DV01),USGGT20Y Index,DV01,145000,-1146950
rate,Long Gilts,GUKG10 index,DV01,,0
rate,Muni (ratio sensitivity),USSMSO25 CMPN Curncy,Ratio Sensitivity,743000,185750
equity,Unraium Miners,CCJ Equity,Notional,6103000,57552.20261
equity,PM Miners,GDX Equity,Notional,5670000,-45743.37303
commodity,Silver,SIZ5 Comdty,Notional,14107000,222312.203
commodity,Platinum,PLF6 comdty,Notional,20615000,-659227.2592
commodity,Copper,HG1 comdty,Notional,17788000,-2388825.845
FX,USDCNH,USDCNH curncy,Notional,371000000,2679841.842
FX,USDHKD,USDHKD curncy,Notional,362300000,294332.5424
FX,CHFJPY,CHFJPY curncy,Notional,-163390000,-3489369.857
FX,USDCHF,CHF curncy,Notional,16180000,391698.3987
crypto,Crypto,IBIT Equity,Notional,19400000,1619571.965
equity,Stoxx 50 Dividend Future,DEDZ8 index,Notional,9150000,152601.7345
equity,Short SPX,ES1 index,Notional,-31580000,-608497.3016
,,,,,
,,,,Total,-5827652.748
