Date,Asset Class,Positions,Ticker/Market Data,Position Type,,P&L Estimate
11/28/2025,rate,Rates (Front end) (DV01),USGG2YR Index,DV01,118595.0878,1149756.59
11/28/2025,rate,Swap spread,USSFCT20 index,DV01,90000,276414.3
11/28/2025,rate,Long End TIPS (DV01),USGGT20Y Index,DV01,141198.5852,-328506.1954
11/28/2025,rate,Long Gilts,GUKG10 index,DV01,20660.15946,-64046.49431
11/28/2025,rate,Muni (ratio sensitivity),USSMSO25 CMPN Curncy,Ratio Sensitivity,731183.6004,1399571.301
11/28/2025,equity,Unraium Miners,CCJ Equity,Notional,6302881.86,-844824.2
11/28/2025,equity,PM Miners,GDX Equity,Notional,7847478.12,1216435.34
11/28/2025,commodity,Silver,SIA Comdty,Notional,11123949.51,1769173.353
11/28/2025,commodity,Platinum,PLA comdty,Notional,31747320.48,2208649.438
11/28/2025,commodity,Copper,HGA comdty,Notional,17848250.43,348012.1775
11/28/2025,FX,USDCNH,USDCNH curncy,Notional,347484337.3,-2334059.449
11/28/2025,FX,USDHKD,USDHKD curncy,Notional,323661161,262922.0046
11/28/2025,FX,CHFJPY,CHFJPY curncy,Notional,-158919800.7,-2311221.131
11/28/2025,FX,USDCHF,CHF curncy,Notional,15911885.37,-11865.68633
11/28/2025,crypto,Crypto,IBIT Equity,Notional,20154756.73,-3477746.948
11/28/2025,equity,Stoxx 50 Dividend Future,DEDZ8 index,Notional,9262832.915,141868.5322
11/28/2025,equity,Short SPX,ES1 index,Notional,-34844368.75,73500.63236
,,,,,Total,-525966.4349
